c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001072;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CERES;NULL;010;204;TO;C497 ;150
001073;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CERESOLE REALE;NULL;010;109;TO;C505 ;150
001073;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CERESOLE REALE;NULL;010;204;TO;C505 ;150
001074;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CESANA TORINESE;NULL;010;105;TO;C564 ;150
001074;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CESANA TORINESE;NULL;010;203;TO;C564 ;150
001075;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIALAMBERTO;NULL;010;106;TO;C604 ;150
001075;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIALAMBERTO;NULL;010;204;TO;C604 ;150
001076;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIANOCCO;NULL;010;105;TO;C610 ;150
001076;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIANOCCO;NULL;010;203;TO;C610 ;150
001077;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIAVERANO;NULL;010;109;TO;C624 ;150
001077;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIAVERANO;NULL;010;204;TO;C624 ;150
001078;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIERI;NULL;010;108;TO;C627 ;150
001078;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIERI;NULL;010;205;TO;C627 ;150
001079;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIESANUOVA;NULL;010;109;TO;C629 ;150
001079;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIESANUOVA;NULL;010;204;TO;C629 ;150
001080;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIOMONTE;NULL;010;105;TO;C639 ;150
001080;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIOMONTE;NULL;010;203;TO;C639 ;150
001081;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIUSA DI SAN MICHELE;NULL;010;105;TO;C655 ;150
001081;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIUSA DI SAN MICHELE;NULL;010;203;TO;C655 ;150
001082;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CHIVASSO;NULL;010;107;TO;C665 ;150
001082;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CHIVASSO;NULL;010;204;TO;C665 ;150
001083;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CICONIO;NULL;010;109;TO;C679 ;150
001083;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CICONIO;NULL;010;204;TO;C679 ;150
001084;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CINTANO;NULL;010;109;TO;C711 ;150
001084;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CINTANO;NULL;010;204;TO;C711 ;150
001085;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CINZANO;NULL;010;107;TO;C715 ;150
001085;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CINZANO;NULL;010;204;TO;C715 ;150
001086;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CIRIE';NULL;010;106;TO;C722 ;150
001086;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CIRIE';NULL;010;204;TO;C722 ;150
001087;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CLAVIERE;NULL;010;105;TO;C793 ;150
001087;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CLAVIERE;NULL;010;203;TO;C793 ;150
001088;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COASSOLO TORINESE;NULL;010;106;TO;C801 ;150
001088;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COASSOLO TORINESE;NULL;010;204;TO;C801 ;150
001089;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COAZZE;NULL;010;105;TO;C803 ;150
001089;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COAZZE;NULL;010;203;TO;C803 ;150
001090;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COLLEGNO;NULL;010;105;TO;C860 ;150
001090;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COLLEGNO;NULL;010;203;TO;C860 ;150
001091;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COLLERETTO CASTELNUOVO;NULL;010;109;TO;C867 ;150
001091;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COLLERETTO CASTELNUOVO;NULL;010;204;TO;C867 ;150
